,product_name,price,number_of_reviews,number_of_answered_questions,average_review_rating,product_information,product_description,customer_questions_and_answers,number_in_stock,#_items_bought,desc_len,desc_#_numb,weight,dimension,recom_age,info_len,info_#_numb,info_clean,model_no,assembly,educational_obj,batt_requi,color,material_type,best_seller_rank,deli_dest,first_del_date,#_tech_details,#_items_bought_view,question_list,desc_ques,category_eda,competitors_count,competitors_avg_price,OnlineRetail.co.uk,inferred-price,predicted_sales,predicted_revenue,coded_0,coded_1,coded_2,coded_3,coded_4,coded_5,coded_6,coded_7,coded_8,coded_9,coded_10,coded_11,coded_12,coded_13,coded_14,coded_15,coded_16,coded_17,coded_18,coded_19,Advent Calendars,Arts & Crafts,Baby & Toddler Toys,Building & Construction Toys,Characters & Brands,Die-Cast & Toy Vehicles,Dolls & Accessories,Fancy Dress,Figures & Playsets,Games,Hobbies,Jigsaws & Puzzles,Musical Toy Instruments,Novelty & Special Use,Other,Party Supplies,Pretend Play,Puppets & Puppet Theatres,Soft Toys,Sports Toys & Outdoor,predictions,bsr_improvement,sales_improvement
7734,Thomas & Friends Wooden Railway Battery Operated Percy Engine,11.95,43,5,4.2,"Technical Details Item Weight 181 g Product Dimensions 6.2 x 12.7 x 11.6 cm Batteries: 1 AA batteries required. Manufacturer recommended age: 3 years and up Item model number Y4423 Main Language(s) English Assembly Required No Batteries Required? Yes Batteries Included? No Remote Control Included? No    Additional Information ASINB009NFFZH6 Best Sellers Rank 2,828 in Toys & Games (See top 100) Shipping Weight 181 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 22 Feb. 2013    Feedback  Would you like to update product info or give feedback on images?",Product Description Introducing our Thomas and Friends Wooden Railway Battery-Operated Percy Engine! The Battery-Operated Percy features powerful four-wheel drive to help James climb any hill or sloped track on the Island of Sodor! Battery-Powered Percy also features a working light! Works great with any Thomas and Friends Wooden Railway sets and provides endless hours of play! 3Y+ Box Contains Includes 1 x Thomas & Friends Wooden Railway B/O Percy Engine,"does it have magnets at front and rear to join onto other trains? // just rear magnets // What kind of battery (and how many) does it require? // 1 aa // Is this engine compatible with ikea lillabo wooden railway track pls? thanks // Hi there, yes all wooden Thomas Trains are compatible with the Ikea wooden train Track.RegardsJames…
    
      see more
    
  
  
    Hi there, yes all wooden Thomas Trains are compatible with the Ikea wooden train Track.RegardsJamesJem Toys
    
      see less // Does this work with Brio train track // Yes. No problem. As an aside, it is also quite powerful, able to pull a string of 6-7 other trains behind it // is this Percy die cast or not? // Its heavy and metal with a battery inside... I'm not sure what diecast means!",45,6.0,84.0,2.4,181.0, 6.2 x 12.7 x 11.6 ,3.0,99,15,"Technical Details Item Weight  g Product Dimensions . x . x . cm Batteries:  AA batteries required. Manufacturer recommended age:  years and up Item model number Y Main Language(s) English Assembly Required No Batteries Required? Yes Batteries Included? No Remote Control Included? No    Additional Information ASINBNFFZH Best Sellers Rank , in Toys & Games (See top ) Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Feb.     Feedback  Would you like to update product info or give feedback on images?",Y4423 ,0.0,False,Yes,,,2828.0, Help page to see where this item can be delivered. , 22 Feb. 2013    ,7,4.0,"['does it have magnets at front and rear to join onto other trains?', ' What kind of battery (and how many) does it require?', ' Is this engine compatible with ikea lillabo wooden railway track pls? thanks', ' Does this work with Brio train track', ' is this Percy die cast or not?']",0.68936925,Die-Cast & Toy Vehicles,10,14.82,11.97,0,718,8580.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.27565,2707.724349975586,39924.95
367,Keel Toys 20cm Sitting Panda,7.97,85,1,4.8,"Technical Details Item Weight 240 g Product Dimensions 20.8 x 13.6 x 16.8 cm Manufacturer recommended age: 3 years and up Item model number SW4633 Batteries Required? No Batteries Included? No    Additional Information ASINB0082LTUUK Best Sellers Rank 3,518 in Toys & Games (See top 100) #155 in Toys & Games > Soft Toys Shipping Weight 240 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 12 May 2012    Feedback  Would you like to update product info or give feedback on images?","Product Description Sitting 20cm Panda. This delightful, cuddly soft toy panda is made from a wonderfully soft, dense black and cream fabric that has a sheen to it, and which your fingers just melt into. His smooth brown paw pads have contrast stitch detail, whilst his facial detail consists of round brown eyes with a black moulded nose and stitch mouth. A real sweetie! His lower half is filled with beans in order to retain that lovely squidgy, soft feel we all love. Box Contains 1 x 20cm Sitting Panda (Polyester)",is it suitable for a 9 month baby // Yes I think it's ok,19,6.0,109.2,3.5999999999999996,240.0, 20.8 x 13.6 x 16.8 ,3.0,92,14,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  years and up Item model number SW Batteries Required? No Batteries Included? No    Additional Information ASINBLTUUK Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Soft Toys Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  May     Feedback  Would you like to update product info or give feedback on images?",SW4633 ,,False,No,,,3518.0, Help page to see where this item can be delivered. , 12 May 2012    ,7,4.0,['is it suitable for a 9 month baby'],0.2470267,Soft Toys,10,8.88,7.99,0,613,4885.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,237.38142,3280.6185760498047,19614.17
3574,German Panther Medium Tank - 1:35 Scale Military - Tamiya,14.33,25,1,4.6,"Technical Details Item Weight 358 g Product Dimensions 19.6 x 9.8 x 8.5 cm Manufacturer recommended age: 10 years and up Item model number TM35065 Main Language(s) Italian manual, German manual, French manual, English manual, Spanish manual, Italian Number of Puzzle Pieces 1 Assembly Required Yes Scale1: 35 Batteries Required? No Batteries Included? No Material Type(s) Plastic    Additional Information ASINB000WNAEJ2 Best Sellers Rank 62,356 in Toys & Games (See top 100) #61 in Toys & Games > Motorised Model Building Kits > Tanks Shipping Weight 358 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 14 Mar. 2003    Feedback  Would you like to update product info or give feedback on images?","The Panther at that time, was the main strength tank of the Gross Deutschland, the strongest German Mechanized Division, under the command of General Hasso Von Manteuffel. The Panther reportedly destroyed 350 JS II tanks and 20 other armoured vehicles in the battle. It was a complete one-sided victory for the Panther and one for the book of military history. The Panther, therefore, was an extremely balanced tactical tank and should be called a masterpiece destined to bear the last glory of German war technology. It's glorious name will forever remain in the records of the 2nd World War.",Do you need to buy paint glue and brushes // You most certainly do,30,6.0,118.8,3.5999999999999996,358.0, 19.6 x 9.8 x 8.5 ,10.0,122,18,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  years and up Item model number TM Main Language(s) Italian manual, German manual, French manual, English manual, Spanish manual, Italian Number of Puzzle Pieces  Assembly Required Yes Scale:  Batteries Required? No Batteries Included? No Material Type(s) Plastic    Additional Information ASINBWNAEJ Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Motorised Model Building Kits > Tanks Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Mar.     Feedback  Would you like to update product info or give feedback on images?",TM35065 ,1.0,False,No,,Plastic,62356.0, Help page to see where this item can be delivered. , 14 Mar. 2003    ,7,4.0,['Do you need to buy paint glue and brushes'],0.19573309,Hobbies,10,14.9,,0,1,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8732.289,53623.7109375,5216.12
9225,VTech InnoTab Software: Hello Kitty - A Day with Hello Kitty and Friends!,11.5,43,1,4.2,"Technical Details Item Weight 118 g Product Dimensions 15.2 x 14.4 x 2.6 cm Manufacturer recommended age: 4 - 6 years Item model number 231103 Educational Objective(s) Numeracy & Literacy Main Language(s) English Number of Game Players 1 Number of Puzzle Pieces 1 Assembly Required No Batteries Required? No Batteries Included? No Material Type(s) Plastic Remote Control Included? No Radio Control Suitability indoor Color multicoloured    Additional Information ASINB0071K40XK Best Sellers Rank 66,857 in Toys & Games (See top 100) #379 in Toys & Games > Games > Educational Games Shipping Weight 118 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 1 Jan. 2012    Feedback  Would you like to update product info or give feedback on images?","Product Description Come spend a day with Hello Kitty and her friends in this educational software title for VTech's InnoTab systems. But it's not just any day – it's Hello Kitty's birthday! Read the e-book ""Hello Kitty's Surprise"" to find out how Hello Kitty spent her birthday, or join in the celebration and play one of three party-themed touchscreen learning games. You can also make a Hello Kitty greeting card or import your own photos into a digital Hello Kitty photo album in the two creative activities. As your child plays with Hello Kitty on their InnoTab, they'll develop essential skills in counting, addition, logic, and memorisation! This software is compatible with all InnoTab learning tablets. Box Contains 1 x Software cartridge1 x User manual","Hi, does this cartridge work with Innotech Vtech 3S? // All innotab games work on all innotabs as far as I  aware. I have the innitab, innotab 2 and innotab baby and they all take the same cartridge. Hope this helps.",15,6.0,150.0,2.4,118.0, 15.2 x 14.4 x 2.6 ,,128,18,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  -  years Item model number  Educational Objective(s) Numeracy & Literacy Main Language(s) English Number of Game Players  Number of Puzzle Pieces  Assembly Required No Batteries Required? No Batteries Included? No Material Type(s) Plastic Remote Control Included? No Radio Control Suitability indoor Color multicoloured    Additional Information ASINBKXK Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Games > Educational Games Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Jan.     Feedback  Would you like to update product info or give feedback on images?",231103 ,0.0,True,No,multicoloured,Plastic,66857.0, Help page to see where this item can be delivered. , 1 Jan. 2012    ,7,4.0,"['Hi, does this cartridge work with Innotech Vtech 3S?']",0.36486195,Characters & Brands,10,11.53,,0,1,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9201.656,57655.34375,4013.5
7864,Bruder 02019 Tipping Trailer,11.32,23,3,4.9,"Technical Details Item Weight 549 g Product Dimensions 14.7 x 10.9 x 32.5 cm Manufacturer recommended age: 3 years and up Item model number 02019 Main Language(s) English Number of Puzzle Pieces 1 Assembly Required No Batteries Required? No Batteries Included? No Remote Control Included? No    Additional Information ASINB000OE4NW8 Best Sellers Rank 28,380 in Toys & Games (See top 100) Shipping Weight 581 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 1 Jan. 2007    Feedback  Would you like to update product info or give feedback on images?","Manufacturer's Description Small, easy-to-manoeuvre trailers are used for minor transporting tasks in the construction, farming, and forest industry. These trailers are usually pulled by different vehicles such as small tractors, Unimogs, light lorries, etc.. This is why our Tipping trailer is the perfect match to our BRUDER tractors, the MB Unimog, and the Mercedes Benz Sprinter. The 3 fold-down boards, the tiltable stake body, as well as the fold-out sustainer give the player much to do and make this toy fun to use.","I have bought the Bruder John Deere 7930, will this trailer fit on this please // Yes,  will fit all bruder toys with standard tow hitch. (Tractors, load all, forklift, Jeep, etc.) // Will this trailer fit behind a Mercedes pick up truck // I would imagine so, it fits on the tractors, loadall,  forklift and Jeep without any bother. As long as the pick up has the same fixed pin hitch it should be fine. // Will this trailer fit on a 1:20 combine? // Slim I am sorry I do not know about the Combine it works well with the MF Tractor",30,6.0,99.6,1.2,549.0, 14.7 x 10.9 x 32.5 ,3.0,99,16,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  years and up Item model number  Main Language(s) English Number of Puzzle Pieces  Assembly Required No Batteries Required? No Batteries Included? No Remote Control Included? No    Additional Information ASINBOENW Best Sellers Rank , in Toys & Games (See top ) Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Jan.     Feedback  Would you like to update product info or give feedback on images?",02019 ,0.0,False,No,,,28380.0, Help page to see where this item can be delivered. , 1 Jan. 2007    ,7,4.0,"['I have bought the Bruder John Deere 7930, will this trailer fit on this please', ' Will this trailer fit behind a Mercedes pick up truck', ' Will this trailer fit on a 1:20 combine?']",0.6703486000000001,Die-Cast & Toy Vehicles,10,12.54,11.32,0,40,452.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8732.289,19647.7109375,3679.0
3561,Siku 1:87 John Deere 9680I Combine Harvester,11.87,25,1,4.1,"Technical Details Item Weight 200 g Product Dimensions 15.6 x 7.5 x 11.5 cm Manufacturer recommended age: 36 months - 6 years Item model number 1876 Assembly Required No Batteries Required? No Batteries Included? No Remote Control Included? No    Additional Information ASINB000E4FHFK Best Sellers Rank 50,152 in Toys & Games (See top 100) #5465 in Toys & Games > Figures & Playsets Shipping Weight 200 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 2 Aug. 2007    Feedback  Would you like to update product info or give feedback on images?","The largest combine harvester produced in Europe from the John Deere 9680i is the inspiration for this 1:87 scale model. The size of the original is easy to see from the dimensions of this typical HO standard model. The vehicle, almost completely made of metal, is equipped with rotating wheels; wheel rims and tyres are to original detailing. The machine has mobile and removable cutters and is very easy to manoeuvre and ideal for play. The vehicle includes original detail lettering and is attractive for any collector's display, kids' farm or model railway. For ordinary on-road transport, the harvester can be removed and loaded onto the trailer included in the set. Scale 1:87",What is the size of the combine harvester in cms please? // No idea but small ?4cm,28,6.0,135.6,3.5999999999999996,200.0, 15.6 x 7.5 x 11.5 ,,101,16,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  months -  years Item model number  Assembly Required No Batteries Required? No Batteries Included? No Remote Control Included? No    Additional Information ASINBEFHFK Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Figures & Playsets Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Aug.     Feedback  Would you like to update product info or give feedback on images?",1876 ,0.0,False,No,,,50152.0, Help page to see where this item can be delivered. , 2 Aug. 2007    ,7,4.0,['What is the size of the combine harvester in cms please?'],0.5487048,Die-Cast & Toy Vehicles,10,14.71,11.87,0,1,11.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11324.695,38827.3046875,3501.65
9130,VTech InnoTab Software: Teenage Mutant Ninja Turtles - Turtle Power!,11.43,22,4,4.8,"Technical Details Item Weight 59 g Product Dimensions 14.2 x 13.6 x 2.8 cm Manufacturer recommended age: 7 - 9 years Item model number 231303 Educational Objective(s) Numeracy, Literacy & Spacial Awareness Main Language(s) English Number of Game Players 1 Number of Puzzle Pieces 1 Batteries Included? No    Additional Information ASINB00DFT8SIE Best Sellers Rank 49,092 in Toys & Games (See top 100) #914 in Toys & Games > Electronic Toys #1642 in Toys & Games > Figures & Playsets > Science Fiction & Fantasy Shipping Weight 59 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 15 July 2013    Feedback  Would you like to update product info or give feedback on images?","Product Description The Teenage Mutant Ninja Turtles are always off on exciting adventures, and now they need your help! Play along with ten interactive learning games that teach about mathematics, science, geometry, vocabulary, and more on this InnoTab software cartridge from VTech! Tilt the tablet up and down to move and jump in the Turtle Skateboard game. Read the ""Mousers Attack!"" e-book and enjoy photo activities and two creative games (camera games compatible with all InnoTab systems with a camera). Who's your favorite Ninja Turtle? Find out on their totally awesome adventures! This software is compatible with all InnoTab learning tablets. Box Contains 1 x Software cartridge1 x User manual","Has the reference to ""spastic buffalo"" been removed yet?  See 3 star review from October 2013 // Don't know, I'm afraid, as this is a present.To be honest, I think there are more important things to worry about than spastic buffalos. :-) // What is a innotab // VTech's InnoTab 3 Learning App Tablet expands children's minds with age-appropriate games, apps and more. Tilt the InnoTab 3, touch the color screen and explore with the D-Pad to learn essential subjects. Microphone activities add to the fun! Read interactive e-books and learn vocabulary with the story dictionary. It i…
    
      see more
    
  
  
    VTech's InnoTab 3 Learning App Tablet expands children's minds with age-appropriate games, apps and more. Tilt the InnoTab 3, touch the color screen and explore with the D-Pad to learn essential subjects. Microphone activities add to the fun! Read interactive e-books and learn vocabulary with the story dictionary. It is great for little ones to learn whilst playing
    
      see less // Is this suitable for children under 7? My son is nearly 6 // bought this for my 5 year old grandson who loves playing with it. it is ok if they know their numbers and are able to read but it does help to teach them, my grandson loves it // does this game work on the innotab max? // Sorry don't know. We only have the innotab 3 and it works on that.",16,6.0,132.0,2.4,59.0, 14.2 x 13.6 x 2.8 ,,123,19,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  -  years Item model number  Educational Objective(s) Numeracy, Literacy & Spacial Awareness Main Language(s) English Number of Game Players  Number of Puzzle Pieces  Batteries Included? No    Additional Information ASINBDFTSIE Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Electronic Toys # in Toys & Games > Figures & Playsets > Science Fiction & Fantasy Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  July     Feedback  Would you like to update product info or give feedback on images?",231303 ,,True,,,,49092.0, Help page to see where this item can be delivered. , 15 July 2013    ,7,4.0,"['Has the reference to ""spastic buffalo"" been removed yet?  See 3 star review from October 2013', ' What is a innotab', ' Is this suitable for children under 7? My son is nearly 6', ' does this game work on the innotab max?']",0.58330696,Characters & Brands,10,10.72,11.43,0,1,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12805.306,36286.6943359375,3028.9500000000003
5193,Bicycle Gold Dragon Deck Playing Cards,3.91,20,1,4.6,"Technical Details Item Weight 104 g Product Dimensions 1.3 x 6.4 x 8.9 cm Manufacturer recommended age: 3 years and up Item model number 1025004 Main Language(s) Polish published Number of Game Players 1 + Number of Puzzle Pieces 1000 Batteries Required? No Batteries Included? No    Additional Information ASINB006T2EQ4Y Best Sellers Rank 9,557 in Toys & Games (See top 100) #299 in Toys & Games > Games > Card Games Shipping Weight 100 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 26 Feb. 2012    Feedback  Would you like to update product info or give feedback on images?",Product Description These limited edition series Bicycle playing cards features specialty designs of Dragon Back. Available for a limited time. Every deck provides you with the same exceptional quality you've come too expect from Bicycle. Now with a fun new look. Box Contains 1 Deck,"is it good for children // I bought them for my 15 year old son who wanted to learn some magic/card tricks. He loves them and thinks they are great for that purpose, but they are very slippery so can be difficult for young, small hands to handle. Hope this helps.",16,6.0,54.0,1.2,104.0, 1.3 x 6.4 x 8.9 ,3.0,109,18,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  years and up Item model number  Main Language(s) Polish published Number of Game Players  + Number of Puzzle Pieces  Batteries Required? No Batteries Included? No    Additional Information ASINBTEQY Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Games > Card Games Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Feb.     Feedback  Would you like to update product info or give feedback on images?",1025004 ,,False,No,,,9557.0, Help page to see where this item can be delivered. , 26 Feb. 2012    ,7,4.0,['is it good for children'],0.19519876000000003,Games,10,4.86,4.57,0,338,1321.5800000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1715.7914,7841.2086181640625,2905.13
7750,Thomas Take n Play Henry,11.99,43,2,4.8,"Technical Details Item Weight 82 g Product Dimensions 4.5 x 3.3 x 9.4 cm Manufacturer recommended age: 3 - 3 years Item model number R9037 Main Language(s) English translation, English Number of Puzzle Pieces 1 Assembly Required No ScaleChina Remote Control Included? No Color Multicoloured    Additional Information ASINB002YQU0N0 Best Sellers Rank 55,930 in Toys & Games (See top 100) Shipping Weight 82 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 19 Jan. 2010    Feedback  Would you like to update product info or give feedback on images?","Product Description Take-n-Play Henry is a durable diecast engine that features ""Smart Magnets"" that connect either way, and allow you to connect other engines or tender at either the front or the back. It works with Fisher-Price Take-n-Play portable playsets. Henry is the No. 3 green engine. He is a long and fast engine and has a thoroughbred look. Like all thoroughbreds, he tends to be a little high-strung and a bit of a worrier. But on any day he'll give any engine a run for its money.","I am looking for battery operated trains for take n play // If you mean trains that move by themselves them I'm afraid the Take'n'play range does not have any. The do have the lights and sounds range though. I have a number in stock if you let me know which ones you are looking for. The wooden range has three that are battery operated and the trackmaster range is fully motorise…
    
      see more
    
  
  
    If you mean trains that move by themselves them I'm afraid the Take'n'play range does not have any. The do have the lights and sounds range though. I have a number in stock if you let me know which ones you are looking for. The wooden range has three that are battery operated and the trackmaster range is fully motorised. I hope this helps.
    
      see less // Are the Take-n-Play Engines compatible with Brio train tracks? Barbara // No, they are smaller than the Brio type trains and designed to go with its own range of clip together plastic track. If you search under ""wooden thomas trains"" on OnlineRetail you should find a selection of models that are compatible with Brio track. Hope this helps.",7,6.0,105.6,1.2,82.0, 4.5 x 3.3 x 9.4 ,,98,17,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  -  years Item model number R Main Language(s) English translation, English Number of Puzzle Pieces  Assembly Required No ScaleChina Remote Control Included? No Color Multicoloured    Additional Information ASINBYQUN Best Sellers Rank , in Toys & Games (See top ) Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Jan.     Feedback  Would you like to update product info or give feedback on images?",R9037 ,0.0,False,,Multicoloured,,55930.0, Help page to see where this item can be delivered. , 19 Jan. 2010    ,7,4.0,"['I am looking for battery operated trains for take n play', ' Are the Take-n-Play Engines compatible with Brio train tracks? Barbara']",0.6788485000000001,Die-Cast & Toy Vehicles,6,10.53,,0,1,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15588.654,40341.345703125,2529.8900000000003
5000,Amscan Playful Mickey Pennant Banner Party Accessory,3.62,19,1,4.9,"Technical Details Item Weight 9 g Product Dimensions 37 x 23 x 0.3 cm Manufacturer recommended age: 3 years and up Item model number 81515 Main Language(s) English translation, English Assembly Required No Batteries Required? No Batteries Included? No Material Type(s) Plastic    Additional Information ASINB00BHV7IZ6 Best Sellers Rank 5,716 in Toys & Games (See top 100) #21 in Home & Garden > Kitchen & Home > Arts & Crafts > Art & Craft Supplies > Canvas #28 in Home & Garden > Garden & Outdoors > Garden Décor > Flags #98 in Toys & Games > Party Supplies > Banners, Stickers & Confetti > Banners Shipping Weight 9 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 19 Feb. 2013    Feedback  Would you like to update product info or give feedback on images?","Product Description As one of Amscan Internationals most popular ranges in its vast selection of licenses you can rest assured the product will be of high quality, safe and of innovative design. Box Contains 1 x Piece",How long is this?  (or how many triangles roughly?) // Really long its an amazing lengh just right :) hope this helps,24,6.0,44.4,1.2,9.0, 37 x 23 x 0.3 ,3.0,144,18,"Technical Details Item Weight  g Product Dimensions  x  x . cm Manufacturer recommended age:  years and up Item model number  Main Language(s) English translation, English Assembly Required No Batteries Required? No Batteries Included? No Material Type(s) Plastic    Additional Information ASINBBHVIZ Best Sellers Rank , in Toys & Games (See top ) # in Home & Garden > Kitchen & Home > Arts & Crafts > Art & Craft Supplies > Canvas # in Home & Garden > Garden & Outdoors > Garden Décor > Flags # in Toys & Games > Party Supplies > Banners, Stickers & Confetti > Banners Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Feb.     Feedback  Would you like to update product info or give feedback on images?",81515 ,0.0,False,No,,Plastic,5716.0, Help page to see where this item can be delivered. , 19 Feb. 2013    ,7,4.0,['How long is this?  (or how many triangles roughly?)'],0.26380237,Characters & Brands,10,3.33,3.62,0,421,1524.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858.8933,3857.106689453125,2128.56
